objects,flights,depth,unique_assets,threaded,changes,views,tick_median_ms,tick_p95_ms,lifecycle_median_ms,lifecycle_p95_ms,collect_seal_median_ms,collect_seal_p95_ms,apply_median_ms,apply_p95_ms,view_median_ms,view_p95_ms,retirement_median_ms,retirement_p95_ms,allocations_7_samples,allocated_bytes_7_samples,gathers_warmup_and_7_samples,matrix_evaluations_warmup_and_7_samples
10000,1,8,true,true,10000,3,0.584600,0.623700,0.000700,0.001100,3.344100,3.971700,0.208600,0.216200,0.140300,0.157400,0.000600,0.000700,0,0,90000,405000
10000,2,1,false,false,0,1,0.073900,0.094300,0.000000,0.000100,0.000100,0.000200,0.000100,0.000100,0.052500,0.053600,0.000100,0.000200,0,0,0,0
10000,2,1,false,false,0,3,0.073900,0.092700,0.000000,0.000100,0.000100,0.000200,0.000100,0.000100,0.157400,0.201800,0.000100,0.000100,0,0,0,0
10000,2,1,false,false,1,1,0.074000,0.102400,0.000000,0.000100,0.000300,0.000400,0.000100,0.000100,0.052500,0.098300,0.000100,0.000100,0,0,10,10
10000,2,1,false,false,1,3,0.073900,0.074100,0.000100,0.000200,0.000300,0.000300,0.000100,0.000100,0.157500,0.158400,0.000100,0.000200,0,0,10,10
10000,2,1,false,false,100,1,0.074600,0.074800,0.000100,0.000100,0.008300,0.008500,0.001700,0.001700,0.052300,0.052900,0.000100,0.000200,0,0,1000,1000
10000,2,1,false,false,100,3,0.075100,0.087400,0.000100,0.000100,0.008300,0.008400,0.001700,0.001700,0.157200,0.185300,0.000100,0.000200,0,0,1000,1000
10000,2,1,false,false,10000,1,0.216700,0.272200,0.000200,0.000200,0.853800,0.924700,0.180800,0.238100,0.056100,0.057100,0.000200,0.000200,0,0,100000,100000
10000,2,1,false,false,10000,3,0.223200,0.250800,0.000200,0.000800,0.917600,1.065900,0.183900,0.236600,0.160300,0.202600,0.000100,0.000200,0,0,100000,100000
10000,2,1,false,true,0,1,0.067300,0.079600,0.000400,0.000400,0.000300,0.000300,0.000500,0.000500,0.041300,0.044300,0.000500,0.000500,0,0,0,0
10000,2,1,false,true,0,3,0.066900,0.087500,0.000400,0.000400,0.000300,0.000300,0.000500,0.000500,0.123600,0.125700,0.000500,0.000500,0,0,0,0
10000,2,1,false,true,1,1,0.066600,0.067800,0.000400,0.000400,0.000800,0.001300,0.000300,0.000700,0.041900,0.042200,0.000500,0.000500,0,0,10,10
10000,2,1,false,true,1,3,0.066800,0.084200,0.000100,0.000100,0.000400,0.000800,0.000300,0.000300,0.125500,0.147300,0.000200,0.000200,0,0,10,10
10000,2,1,false,true,100,1,0.066900,0.080700,0.000100,0.000100,0.008600,0.008800,0.001900,0.002300,0.041400,0.055200,0.000200,0.000500,0,0,1000,1000
10000,2,1,false,true,100,3,0.067200,0.109700,0.000100,0.000200,0.008600,0.011900,0.001900,0.002000,0.125400,0.132400,0.000100,0.000200,0,0,1000,1000
10000,2,1,false,true,10000,1,0.229400,0.360300,0.000600,0.000900,0.910900,1.299100,0.209800,0.282800,0.062000,0.089300,0.000700,0.002000,0,0,100000,100000
10000,2,1,false,true,10000,3,0.216800,0.263300,0.000400,0.000400,0.896400,0.986200,0.182800,0.199300,0.133900,0.229500,0.000700,0.000800,0,0,100000,100000
10000,2,1,true,false,0,1,0.069700,0.137400,0.000100,0.000100,0.000100,0.000200,0.000100,0.000100,0.047300,0.059700,0.000100,0.000100,0,0,0,0
10000,2,1,true,false,0,3,0.067500,0.068700,0.000100,0.000100,0.000100,0.000100,0.000000,0.000100,0.138200,0.222300,0.000100,0.000100,0,0,0,0
10000,2,1,true,false,1,1,0.067600,0.067800,0.000000,0.000100,0.000300,0.000400,0.000100,0.000100,0.045900,0.046800,0.000100,0.000100,0,0,10,10
10000,2,1,true,false,1,3,0.067700,0.076400,0.000000,0.000100,0.000300,0.000400,0.000100,0.000100,0.137800,0.263700,0.000100,0.000100,0,0,10,10
10000,2,1,true,false,100,1,0.068800,0.099300,0.000100,0.000100,0.008300,0.011200,0.001700,0.001700,0.045600,0.058600,0.000100,0.000100,0,0,1000,1000
10000,2,1,true,false,100,3,0.068700,0.097900,0.000100,0.000100,0.008200,0.008400,0.001700,0.001800,0.137700,0.167300,0.000100,0.000200,0,0,1000,1000
10000,2,1,true,false,10000,1,0.209700,0.403200,0.000200,0.000800,0.891300,1.006000,0.182600,0.210200,0.052000,0.101000,0.000200,0.000200,0,0,100000,100000
10000,2,1,true,false,10000,3,0.221800,0.543200,0.000200,0.001900,0.938400,1.189800,0.178600,0.210400,0.152000,0.175400,0.000100,0.000600,0,0,100000,100000
10000,2,1,true,true,0,1,0.068600,0.084900,0.000400,0.000400,0.000300,0.000400,0.000400,0.000400,0.040600,0.052600,0.000500,0.000600,0,0,0,0
10000,2,1,true,true,0,3,0.068300,0.077100,0.000100,0.000400,0.000100,0.000300,0.000400,0.000500,0.122700,0.142000,0.000200,0.000600,0,0,0,0
10000,2,1,true,true,1,1,0.066900,0.070100,0.000100,0.000200,0.000400,0.000400,0.000500,0.000500,0.040800,0.041600,0.000100,0.000200,0,0,10,10
10000,2,1,true,true,1,3,0.069600,0.134600,0.000100,0.001000,0.000400,0.000900,0.000300,0.000300,0.127800,0.150300,0.000200,0.000500,0,0,10,10
10000,2,1,true,true,100,1,0.068400,0.070300,0.000100,0.000400,0.008600,0.010600,0.001900,0.002000,0.041200,0.050700,0.000200,0.000500,0,0,1000,1000
10000,2,1,true,true,100,3,0.068100,0.068300,0.000100,0.000100,0.008600,0.011700,0.001900,0.002000,0.122600,0.131500,0.000200,0.000200,0,0,1000,1000
10000,2,1,true,true,10000,1,0.236600,0.313800,0.000500,0.000700,0.858600,0.890700,0.202600,0.251400,0.050200,0.072300,0.000500,0.000700,0,0,100000,100000
10000,2,1,true,true,10000,3,0.232800,0.272400,0.000600,0.000700,0.899500,0.941000,0.183800,0.272300,0.129700,0.201400,0.000600,0.000700,0,0,100000,100000
10000,2,8,false,false,0,1,0.068000,0.083900,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.046000,0.057500,0.000100,0.000100,0,0,0,0
10000,2,8,false,false,0,3,0.067700,0.109800,0.000100,0.000100,0.000100,0.000200,0.000100,0.000100,0.137600,0.168700,0.000100,0.000600,0,0,0,0
10000,2,8,false,false,1,1,0.067800,0.096500,0.000100,0.000100,0.002800,0.003400,0.000200,0.000300,0.046000,0.074100,0.000100,0.000200,0,0,80,360
10000,2,8,false,false,1,3,0.067800,0.067900,0.000000,0.000100,0.002800,0.002800,0.000300,0.000300,0.137600,0.138200,0.000100,0.000100,0,0,80,360
10000,2,8,false,false,100,1,0.074800,0.106300,0.000100,0.000100,0.032700,0.050300,0.001800,0.001900,0.045400,0.058500,0.000100,0.000200,0,0,1040,4680
10000,2,8,false,false,100,3,0.075300,0.090100,0.000100,0.000100,0.032700,0.033200,0.001800,0.001800,0.137800,0.212600,0.000100,0.000100,0,0,1040,4680
10000,2,8,false,false,10000,1,0.518300,0.670900,0.000200,0.000700,3.296800,3.686400,0.214100,0.257400,0.051200,0.069900,0.000200,0.000400,0,0,100000,450000
10000,2,8,false,false,10000,3,0.517000,0.661200,0.000200,0.000800,3.326700,3.685100,0.186500,0.208600,0.154300,0.220400,0.000200,0.000600,0,0,100000,450000
10000,2,8,false,true,0,1,0.078100,0.093400,0.000400,0.000400,0.000300,0.000300,0.000400,0.000400,0.051600,0.059300,0.000500,0.000500,0,0,0,0
10000,2,8,false,true,0,3,0.078500,0.084200,0.000400,0.000400,0.000300,0.000300,0.000400,0.000400,0.151600,0.179100,0.000500,0.000500,0,0,0,0
10000,2,8,false,true,1,1,0.078700,0.084800,0.000400,0.000400,0.003500,0.018700,0.000600,0.000700,0.059400,0.076400,0.000500,0.000500,0,0,80,360
10000,2,8,false,true,1,3,0.089400,0.124500,0.000400,0.000500,0.003600,0.004400,0.000500,0.000700,0.134500,0.245900,0.000500,0.000600,0,0,80,360
10000,2,8,false,true,100,1,0.072400,0.093200,0.000100,0.000400,0.034700,0.090800,0.002000,0.002100,0.041500,0.052700,0.000200,0.000500,0,0,1040,4680
10000,2,8,false,true,100,3,0.072300,0.076400,0.000100,0.000300,0.034200,0.047200,0.002000,0.002300,0.124800,0.161500,0.000200,0.000300,0,0,1040,4680
10000,2,8,false,true,10000,1,0.569100,0.619400,0.000700,0.001100,3.419400,3.506700,0.217000,0.270600,0.058300,0.074700,0.000700,0.000700,0,0,100000,450000
10000,2,8,false,true,10000,3,0.539600,0.641700,0.000700,0.001000,3.441700,3.848100,0.211400,0.228000,0.135200,0.149100,0.000700,0.001200,0,0,100000,450000
10000,2,8,true,false,0,1,0.068900,0.125400,0.000100,0.000100,0.000100,0.000100,0.000100,0.000100,0.045800,0.046600,0.000100,0.000100,0,0,0,0
10000,2,8,true,false,0,3,0.069400,0.121300,0.000000,0.000100,0.000100,0.000100,0.000100,0.000600,0.137900,0.241900,0.000100,0.000200,0,0,0,0
10000,2,8,true,false,1,1,0.069400,0.069700,0.000100,0.000100,0.002800,0.002800,0.000200,0.000300,0.045900,0.074400,0.000100,0.000200,0,0,80,360
10000,2,8,true,false,1,3,0.070100,0.086400,0.000100,0.000100,0.002800,0.003900,0.000200,0.000300,0.137700,0.177000,0.000100,0.000200,0,0,80,360
10000,2,8,true,false,100,1,0.073600,0.074900,0.000100,0.000100,0.032600,0.060800,0.001700,0.002400,0.045700,0.073100,0.000100,0.000100,0,0,1040,4680
10000,2,8,true,false,100,3,0.074000,0.094500,0.000100,0.000100,0.032700,0.033400,0.001800,0.001800,0.137300,0.226500,0.000100,0.000200,0,0,1040,4680
